N,Должность,Язык.программирования,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Еще.студент,Уровень.английского,Дата.заполнения,User.Agent,exp,current_job_exp,salary,avg
5151,System Architect,C++,4,1,8000,1000,Киев,до 50 человек,Стартап,мужской,26,Высшее,False,продвинутый,20/06/2017 14:24:45,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,1.0,8000,
5152,Software Engineer,C#/.NET,3,1.5,1400,600,Харьков,до 50 человек,Продуктовая,мужской,30,Два высших,False,ниже среднего,20/06/2017 14:32:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,1400,
5154,Software Engineer,Java,10 и более лет,6,2800,50,Другой,до 10 человек,Продуктовая,мужской,32,Высшее,False,средний,20/06/2017 14:36:46,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0,10.0,6.0,2800,
5156,System Architect,Java,7,меньше 3 месяцев,3000,0,Киев,до 200 человек,Аутсорсинговая,мужской,30,Незаконченное высшее,True,средний,20/06/2017 14:46:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.0,3000,
5157,Junior Software Engineer,PHP,меньше 3 месяцев,меньше 3 месяцев,300,0,Ровно,до 10 человек,Продуктовая,мужской,20,Высшее,False,элементарный,20/06/2017 14:48:14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36 FirePHP/4Chrome",0.0,0.0,300,
5164,Software Engineer,Java,2,2,2100,1100,Киев,до 1000 человек,Аутсорсинговая,мужской,22,Высшее,False,выше среднего,20/06/2017 15:19:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,2100,
5165,Senior Software Engineer,C#/.NET,8,1.5,4200,200,Киев,до 1000 человек,Аутстаффинговая,мужской,28,Высшее,False,выше среднего,20/06/2017 15:27:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",8.0,1.5,4200,
5167,Software Engineer,JavaScript,3,меньше 3 месяцев,1900,800,Львов,до 1000 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,False,средний,20/06/2017 15:29:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,1900,
5169,Senior Software Engineer,Java,6,1.5,4250,100,Киев,свыше 1000 человек,Аутстаффинговая,мужской,31,Высшее,False,выше среднего,20/06/2017 15:38:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.5,4250,
5174,Junior Software Engineer,Python,1,0.5,400,100,Львов,до 50 человек,Аутстаффинговая,мужской,24,Незаконченное высшее,False,ниже среднего,20/06/2017 15:49:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,0.5,400,
5180,Junior Software Engineer,C#/.NET,3,2,225,75,Запорожье,до 10 человек,Аутстаффинговая,мужской,21,Высшее,True,ниже среднего,20/06/2017 16:17:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",3.0,2.0,225,
5182,Junior Software Engineer,Swift,1.5,0.5,500,300,Ужгород,до 50 человек,Аутсорсинговая,мужской,19,Среднее,True,средний,20/06/2017 16:21:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,0.5,500,
5183,Software Engineer,Ruby/Rails,2,меньше 3 месяцев,2500,1500,Удаленно,до 10 человек,Продуктовая,мужской,20,Среднее,False,выше среднего,20/06/2017 16:21:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2500,
5184,Senior Software Engineer,JavaScript,5,меньше 3 месяцев,5000,1500,Киев,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,False,средний,20/06/2017 16:21:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",5.0,0.0,5000,
5185,Junior Software Engineer,PHP,2,1,800,200,Днепр,до 50 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,20/06/2017 16:21:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",2.0,1.0,800,
5186,Software Engineer,PHP,10 и более лет,3,2000,1000,Винница,до 50 человек,Продуктовая,мужской,31,Высшее,False,элементарный,20/06/2017 16:22:10,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,3.0,2000,
5191,Junior Software Engineer,Swift,1,1,950,0,Киев,до 10 человек,Другая,мужской,22,Высшее,False,выше среднего,20/06/2017 16:22:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.0,1.0,950,
5193,Junior Software Engineer,C#/.NET,0.5,меньше 3 месяцев,250,0,Днепр,до 200 человек,Продуктовая,мужской,25,Высшее,False,продвинутый,20/06/2017 16:22:41,"Mozilla/5.0 (Linux; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.0,250,
5194,Software Engineer,Java,3,1,2100,300,Киев,до 200 человек,Аутсорсинговая,мужской,21,Высшее,False,средний,20/06/2017 16:22:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,1.0,2100,
5195,Software Engineer,Objective-C,5,2,2300,500,Киев,до 50 человек,Аутстаффинговая,мужской,30,Высшее,False,средний,20/06/2017 16:22:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,2.0,2300,
5198,Software Engineer,Java,3,меньше 3 месяцев,2660,1000,Киев,до 50 человек,Продуктовая,мужской,22,Незаконченное высшее,True,выше среднего,20/06/2017 16:23:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,2660,
5199,Software Engineer,Scala,2,1,1200,600,Днепр,до 200 человек,Аутсорсинговая,мужской,25,Среднее,False,средний,20/06/2017 16:23:27,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:55.0) Gecko/20100101 Firefox/55.0,2.0,1.0,1200,
5201,Senior Software Engineer,JavaScript,7,4,3515,500,Киев,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,False,продвинутый,20/06/2017 16:23:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,4.0,3515,
5202,Junior Software Engineer,JavaScript,меньше 3 месяцев,меньше 3 месяцев,900,0,Львов,до 200 человек,Аутсорсинговая,мужской,31,Высшее,False,выше среднего,20/06/2017 16:23:57,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",0.0,0.0,900,
5203,Junior Software Engineer,PHP,1.5,0.5,770,520,Днепр,до 50 человек,Продуктовая,мужской,23,Высшее,False,ниже среднего,20/06/2017 16:24:04,"Mozilla/5.0 (Linux; Android 5.0; SM-N900 Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",1.5,0.5,770,
5207,Junior Software Engineer,JavaScript,3,1.5,900,200,Кропивницкий,до 200 человек,Аутсорсинговая,мужской,21,Высшее,True,ниже среднего,20/06/2017 16:24:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3080.5 Safari/537.36",3.0,1.5,900,
5208,Software Engineer,JavaScript,2,меньше 3 месяцев,1000,300,Киев,до 1000 человек,Аутсорсинговая,мужской,29,Высшее,False,средний,20/06/2017 16:24:40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,0.0,1000,
5209,Senior Software Engineer,Objective-C,5,5,2200,500,Винница,свыше 1000 человек,Аутсорсинговая,мужской,28,Высшее,False,выше среднего,20/06/2017 16:24:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",5.0,5.0,2200,
5211,Senior Software Engineer,JavaScript,3,1.5,1600,600,Харьков,до 50 человек,Аутстаффинговая,мужской,21,Незаконченное высшее,True,средний,20/06/2017 16:24:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,1600,
5212,Software Engineer,Ruby/Rails,5,1.5,2000,0,Удаленно,до 50 человек,Аутсорсинговая,мужской,33,Высшее,False,выше среднего,20/06/2017 16:24:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,2000,
5213,Software Engineer,JavaScript,3,3,1300,500,Харьков,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,элементарный,20/06/2017 16:24:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1300,
5214,Software Engineer,JavaScript,4,0.5,3500,1000,Киев,свыше 1000 человек,Аутсорсинговая,мужской,32,Высшее,False,выше среднего,20/06/2017 16:24:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.5,3500,
5215,Software Engineer,PHP,4,2,450,100,Мариуполь,до 10 человек,Продуктовая,мужской,35,Высшее,False,ниже среднего,20/06/2017 16:25:03,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,2.0,450,
5216,Senior Software Engineer,Objective-C,6,6,3300,300,Львов,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,выше среднего,20/06/2017 16:25:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,6.0,3300,
5218,Software Engineer,Swift,2,1,1200,600,Киев,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,True,выше среднего,20/06/2017 16:25:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,1.0,1200,
5219,Software Engineer,Java,3,0.25,2200,300,Киев,до 50 человек,Продуктовая,мужской,31,Высшее,False,средний,20/06/2017 16:25:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.25,2200,
5222,Software Engineer,PHP,2,меньше 3 месяцев,1100,100,Киев,до 50 человек,Аутстаффинговая,мужской,23,Высшее,False,средний,20/06/2017 16:25:27,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1100,
5223,Senior Software Engineer,Objective-C,3,2,2800,1000,Киев,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,ниже среднего,20/06/2017 16:25:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2800,
5224,Software Engineer,Swift,5,2,800,100,Киев,до 200 человек,Аутсорсинговая,мужской,28,Высшее,False,продвинутый,20/06/2017 16:25:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,800,
5227,Senior Software Engineer,Java,9,5,3515,500,Киев,до 1000 человек,Продуктовая,мужской,28,Высшее,False,ниже среднего,20/06/2017 16:25:36,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,9.0,5.0,3515,
5228,Software Engineer,PHP,9,2,1000,200,Черкассы,до 50 человек,Аутсорсинговая,мужской,29,Высшее,False,ниже среднего,20/06/2017 16:25:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,2.0,1000,
5230,Software Engineer,PHP,3,2,1100,400,Херсон,до 50 человек,Аутсорсинговая,мужской,36,Высшее,False,средний,20/06/2017 16:25:49,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,3.0,2.0,1100,
5231,Software Engineer,C#/.NET,3,меньше 3 месяцев,1500,300,Хмельницкий,до 50 человек,Аутсорсинговая,мужской,24,Высшее,False,средний,20/06/2017 16:26:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",3.0,0.0,1500,
5234,Software Engineer,Ruby/Rails,1.5,1.5,700,200,Ужгород,до 200 человек,Аутсорсинговая,мужской,24,Высшее,False,выше среднего,20/06/2017 16:26:28,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.5,1.5,700,
5235,Senior Software Engineer,C#/.NET,5,0.25,3000,500,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,средний,20/06/2017 16:26:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.25,3000,
5236,Software Engineer,JavaScript,1.5,0.25,800,400,Одесса,до 50 человек,Аутстаффинговая,мужской,25,Высшее,False,средний,20/06/2017 16:26:39,"Mozilla/5.0 (Linux; Android 6.0; Redmi Note 4 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,0.25,800,
5237,Software Engineer,JavaScript,0.25,0.25,500,500,Киев,до 10 человек,Аутсорсинговая,мужской,30,Два высших,True,выше среднего,20/06/2017 16:26:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,500,
5238,Senior Software Engineer,C++,6,0.25,4150,950,Киев,до 1000 человек,Аутстаффинговая,мужской,27,Высшее,False,продвинутый,20/06/2017 16:26:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",6.0,0.25,4150,
5241,Senior Software Engineer,JavaScript,5,1.5,2850,400,Харьков,до 1000 человек,Аутсорсинговая,мужской,28,Высшее,False,средний,20/06/2017 16:26:55,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,2850,
5244,Senior Software Engineer,C#/.NET,10 и более лет,2,2500,0,Киев,до 200 человек,Продуктовая,мужской,33,Два высших,False,ниже среднего,20/06/2017 16:27:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,2.0,2500,
5245,Senior Software Engineer,Java,10 и более лет,0.5,6000,2200,Киев,до 200 человек,Аутстаффинговая,мужской,32,Высшее,False,выше среднего,20/06/2017 16:27:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,0.5,6000,
5247,Junior Software Engineer,Python,1.5,1,550,50,Киев,до 10 человек,Стартап,мужской,25,Высшее,False,выше среднего,20/06/2017 16:27:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36",1.5,1.0,550,
5248,Junior Software Engineer,JavaScript,3,1.5,385,85,Киев,до 1000 человек,Продуктовая,мужской,21,Среднее,False,выше среднего,20/06/2017 16:27:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,385,
5249,Senior Software Engineer,Scala,5,3,3000,0,Удаленно,до 10 человек,Аутсорсинговая,мужской,35,Высшее,False,элементарный,20/06/2017 16:27:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,3000,
5251,Technical Lead,PHP,10 и более лет,1.5,3900,300,Харьков,до 200 человек,Продуктовая,мужской,32,Высшее,False,выше среднего,20/06/2017 16:27:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0,10.0,1.5,3900,
5253,Software Engineer,Java,2,5,1600,150,Днепр,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,20/06/2017 16:28:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,5.0,1600,
5255,Technical Lead,C#/.NET,10 и более лет,2,800,0,Киев,до 50 человек,Другая,мужской,34,Высшее,False,ниже среднего,20/06/2017 16:28:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898",10.0,2.0,800,
5256,Software Engineer,JavaScript,5,1,1900,600,Киев,свыше 1000 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,20/06/2017 16:28:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,1900,
5257,Junior Software Engineer,PHP,1,меньше 3 месяцев,700,650,Киев,до 200 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,True,выше среднего,20/06/2017 16:28:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.0,700,
5258,Junior Software Engineer,Python,1.5,меньше 3 месяцев,800,400,Днепр,до 50 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,False,средний,20/06/2017 16:28:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,
5261,Software Engineer,Java,3,0.5,2600,800,Львов,до 200 человек,Аутстаффинговая,мужской,29,Высшее,False,средний,20/06/2017 16:28:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3.0,0.5,2600,
5263,Software Engineer,PHP,5,0.5,2000,100,Харьков,до 50 человек,Аутсорсинговая,женский,24,Высшее,False,средний,20/06/2017 16:28:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",5.0,0.5,2000,
5264,Junior Software Engineer,Objective-C,0.5,0.5,800,530,Днепр,до 1000 человек,Продуктовая,мужской,22,Незаконченное высшее,True,средний,20/06/2017 16:28:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",0.5,0.5,800,
5266,Software Engineer,JavaScript,1.5,1.5,770,270,Киев,до 50 человек,Аутсорсинговая,женский,27,Высшее,False,средний,20/06/2017 16:28:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",1.5,1.5,770,
5267,Junior Software Engineer,Java,0.5,0.5,600,600,Львов,свыше 1000 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,True,продвинутый,20/06/2017 16:28:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,600,
5268,Junior Software Engineer,Ruby/Rails,4,3,690,0,Львов,до 50 человек,Аутсорсинговая,мужской,29,Высшее,False,ниже среднего,20/06/2017 16:28:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",4.0,3.0,690,
5269,Software Engineer,C#/.NET,3,2,1600,350,Киев,до 200 человек,Продуктовая,мужской,27,Высшее,False,ниже среднего,20/06/2017 16:28:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,1600,
5270,Junior Software Engineer,JavaScript,2,меньше 3 месяцев,1600,200,Одесса,до 10 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,20/06/2017 16:29:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,0.0,1600,
5271,Software Engineer,Java,2,2,1140,400,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,22,Высшее,True,средний,20/06/2017 16:29:08,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1140,
5274,Software Engineer,Java,2,0.5,1300,500,Киев,до 200 человек,Продуктовая,мужской,27,Высшее,False,средний,20/06/2017 16:29:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",2.0,0.5,1300,
5276,Software Engineer,C#/.NET,5,4,1650,300,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,20/06/2017 16:29:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,4.0,1650,
5277,Software Engineer,PHP,7,1,2000,0,Киев,до 50 человек,Продуктовая,мужской,46,Высшее,False,ниже среднего,20/06/2017 16:29:30,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,7.0,1.0,2000,
5278,Software Engineer,PHP,4,1.5,1000,500,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,False,средний,20/06/2017 16:29:30,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.5,1000,
5279,Senior Software Engineer,C#/.NET,6,2,3300,0,Киев,до 200 человек,Продуктовая,мужской,28,Два высших,False,средний,20/06/2017 16:29:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,2.0,3300,
5280,Software Engineer,PHP,10 и более лет,5,950,200,Киев,до 10 человек,Другая,мужской,42,Высшее,False,элементарный,20/06/2017 16:29:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,5.0,950,
5281,Software Engineer,Objective-C,4,3,2200,200,Киев,до 1000 человек,Аутсорсинговая,женский,29,Высшее,False,выше среднего,20/06/2017 16:29:41,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:41.0) Gecko/20100101 Firefox/41.0,4.0,3.0,2200,
5283,Senior Software Engineer,Ruby/Rails,9,меньше 3 месяцев,3000,-800,Одесса,до 200 человек,Аутстаффинговая,мужской,31,Высшее,False,средний,20/06/2017 16:29:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",9.0,0.0,3000,
5285,Junior Software Engineer,C#/.NET,3,0.5,900,0,Черновцы,свыше 1000 человек,Аутсорсинговая,мужской,33,Высшее,False,средний,20/06/2017 16:29:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,900,
5286,Software Engineer,PHP,7,2,1200,0,Удаленно,до 10 человек,Другая,мужской,29,Высшее,False,ниже среднего,20/06/2017 16:29:55,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:54.0) Gecko/20100101 Firefox/54.0,7.0,2.0,1200,
5289,Software Engineer,PHP,5,5,1000,100,Харьков,до 10 человек,Аутсорсинговая,мужской,29,Высшее,False,средний,20/06/2017 16:30:06,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,1000,
5291,Software Engineer,C#/.NET,4,1,2700,200,Харьков,до 200 человек,Аутсорсинговая,мужской,22,Высшее,True,выше среднего,20/06/2017 16:30:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,2700,
5292,Junior Software Engineer,JavaScript,1,1,500,200,Ровно,свыше 1000 человек,Аутсорсинговая,мужской,28,Высшее,False,ниже среднего,20/06/2017 16:30:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,
5295,Software Engineer,C#/.NET,5,0.5,3000,1000,Львов,до 1000 человек,Аутстаффинговая,мужской,27,Высшее,False,выше среднего,20/06/2017 16:30:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.5,3000,
